,ïΩãœãCâ∑,ïΩãœéºìx,ïΩãœïóë¨,ì˙è∆éûä‘,ç~êÖó ,çÏïtñ êœ
1966,17.5,76.0,4.4,1322.6,961.5,1580.0
1967,14.8,70.0,4.0,1817.3,1073.4,1500.0
1968,14.7,69.0,3.8,1864.9,1400.5,1280.0
1969,14.7,69.0,4.1,1813.0,1148.0,1000.0
1970,14.2,69.0,3.9,1830.1,991.0,849.0
1971,14.8,67.0,3.4,1801.4,1230.5,885.0
1972,15.6,67.0,4.2,1983.4,1300.0,779.0
1973,15.3,66.0,4.2,2074.9,1067.5,762.0
1974,14.7,69.0,4.1,1921.3,1210.5,705.0
1975,15.0,69.0,3.6,2011.8,1492.5,649.0
1976,14.6,70.0,3.6,1828.2,1304.0,672.0
1977,15.2,68.0,3.5,1943.7,1315.0,695.0
1978,15.4,66.0,3.7,2153.3,808.0,1450.0
1979,16.2,68.0,3.6,1983.4,1164.0,1480.0
1980,14.9,68.0,3.4,1851.4,1479.0,1590.0
1981,14.3,70.0,3.8,1988.1,1141.0,1620.0
1982,15.0,72.0,4.1,2008.2,1471.0,1710.0
1983,14.7,71.0,4.1,2121.6,1352.5,1630.0
1984,13.8,71.0,4.0,2223.8,855.0,1660.0
1985,15.1,71.0,4.4,2186.7,1381.5,1630.0
1986,14.6,69.0,4.3,2045.5,1291.5,1650.0
1987,15.6,70.0,4.5,1907.6,1276.0,1840.0
1988,14.9,68.0,4.3,1787.5,1318.5,1820.0
1989,15.9,70.0,4.5,1825.5,1658.0,1770.0
1990,16.6,68.0,4.4,1960.1,1266.5,1670.0
1991,15.9,69.0,4.0,1745.2,1910.5,1530.0
1992,15.6,68.0,4.0,1847.0,1403.0,1430.0
1993,15.1,69.0,4.0,1742.4,1596.5,1300.0
1994,16.4,68.0,3.9,2045.0,1164.0,1050.0
1995,15.9,66.0,4.2,2089.7,1094.5,1040.0
1996,15.3,67.0,4.0,2023.4,1346.0,1110.0
1997,16.3,67.0,4.4,2112.7,939.5,1130.0
1998,16.3,73.0,4.1,1550.4,1345.5,1240.0
1999,16.6,70.0,4.4,1971.5,1330.5,1190.0
2000,16.2,71.0,4.3,1986.1,1329.0,1270.0
2001,15.8,68.0,4.0,2006.3,1482.0,1260.0
2002,16.1,69.0,4.2,1997.4,1370.0,1220.0
2003,15.5,71.0,4.0,1711.3,1594.5,1150.0
2004,16.8,68.0,4.4,2183.9,1670.5,1110.0
2005,15.8,67.0,3.9,2012.4,1314.5,1070.0
2006,16.0,70.0,3.8,1623.5,1726.0,1030.0
2007,16.6,67.0,3.8,1980.2,1190.0,1020.0
2008,16.1,68.0,3.6,1873.2,1639.0,1000.0
2009,16.3,68.0,3.9,1701.7,1636.5,994.0
2010,16.6,68.0,4.0,1931.8,1525.0,900.0
2011,16.3,66.0,3.9,2082.6,1258.5,866.0
2012,15.9,67.0,3.7,2039.3,1614.0,813.0
